,age,title,sum,count
6999,60,"Great Escape, The (1963)",31,7
7095,60,Leaving Las Vegas (1995),31,8
7096,60,Liar Liar (1997),31,10
6657,60,2001: A Space Odyssey (1968),30,7
6783,60,Butch Cassidy and the Sundance Kid (1969),30,8
6792,60,Casablanca (1942),30,7
6872,60,"Devil's Advocate, The (1997)",30,8
6888,60,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),30,7
6939,60,"Fish Called Wanda, A (1988)",30,8
7123,60,"Magnificent Seven, The (1954)",30,7
7173,60,Mr. Holland's Opus (1995),30,8
7308,60,Return of the Jedi (1983),30,9
6699,60,Apocalypse Now (1979),29,7
6702,60,Apt Pupil (1998),29,7
6806,60,Chinatown (1974),29,7
6968,60,Gandhi (1982),29,7
6992,60,Good Will Hunting (1997),29,7
7130,60,"Manchurian Candidate, The (1962)",29,7
7214,60,North by Northwest (1959),29,7
7224,60,On Golden Pond (1981),29,7
7230,60,One Flew Over the Cuckoo's Nest (1975),29,7
7280,60,Pulp Fiction (1994),29,7
7310,60,Richard III (1995),29,7
7323,60,"Room with a View, A (1986)",29,7
7379,60,Some Like It Hot (1959),29,6
7445,60,To Kill a Mockingbird (1962),29,7
7480,60,Volcano (1997),29,10
6832,60,Cool Hand Luke (1967),28,7
7264,60,"Postino, Il (1994)",28,7
7295,60,Rear Window (1954),28,6
7357,60,"Shawshank Redemption, The (1994)",28,7
6714,60,Back to the Future (1985),27,7
6958,60,Fried Green Tomatoes (1991),27,8
7050,60,Indiana Jones and the Last Crusade (1989),27,7
7078,60,"Killing Fields, The (1984)",27,7
7094,60,Lawrence of Arabia (1962),27,6
7184,60,Murder at 1600 (1997),27,9
7455,60,"Treasure of the Sierra Madre, The (1948)",27,6
7474,60,"Usual Suspects, The (1995)",27,7
6682,60,"American President, The (1995)",26,7
6698,60,"Apartment, The (1960)",26,6
6705,60,Around the World in 80 Days (1956),26,7
6737,60,Ben-Hur (1959),26,7
6768,60,Braveheart (1995),26,7
6820,60,"Clockwork Orange, A (1971)",26,7
6983,60,Gigi (1958),26,6
7288,60,"Rainmaker, The (1997)",26,8
7325,60,Rosewood (1997),26,7
7407,60,"Streetcar Named Desire, A (1951)",26,6
6708,60,As Good As It Gets (1997),25,6
6897,60,Emma (1996),25,7
7005,60,Groundhog Day (1993),25,7
7042,60,In & Out (1997),25,7
7262,60,Platoon (1986),25,7
7464,60,Ulee's Gold (1997),25,7
7512,60,"Wizard of Oz, The (1939)",25,6
6873,60,"Devil's Own, The (1997)",24,7
6988,60,"Godfather: Part II, The (1974)",24,6
7176,60,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",24,6
7284,60,"Quiet Man, The (1952)",24,6
7372,60,Sling Blade (1996),24,6
6666,60,"African Queen, The (1951)",23,5
6713,60,Babe (1995),23,5
6876,60,Die Hard (1988),23,6
6994,60,GoodFellas (1990),23,6
7148,60,Meet Me in St. Louis (1944),23,6
7256,60,"Piano, The (1993)",23,6
7289,60,Raise the Red Lantern (1991),23,5
7290,60,Raising Arizona (1987),23,7
7318,60,"Rock, The (1996)",23,7
7383,60,"Sound of Music, The (1965)",23,6
7450,60,Top Gun (1986),23,7
7477,60,Vertigo (1958),23,5
6654,60,12 Angry Men (1957),22,5
6748,60,Blade Runner (1982),22,5
6809,60,Cinema Paradiso (1988),22,5
6852,60,Dances with Wolves (1990),22,6
6931,60,Field of Dreams (1989),22,7
6967,60,"Game, The (1997)",22,6
6969,60,"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",22,5
7048,60,Independence Day (ID4) (1996),22,8
7083,60,Kolya (1996),22,5
7195,60,My Left Foot (1989),22,5
7247,60,"People vs. Larry Flynt, The (1996)",22,6
7313,60,"Right Stuff, The (1983)",22,6
7340,60,"Secret Garden, The (1993)",22,6
7370,60,Sleepless in Seattle (1993),22,6
7429,60,"Third Man, The (1949)",22,5
7443,60,To Catch a Thief (1955),22,5
7456,60,True Lies (1994),22,6
7481,60,Wag the Dog (1997),22,6
6675,60,Alien (1979),21,6
6772,60,Breakfast at Tiffany's (1961),21,5
6796,60,Cat on a Hot Tin Roof (1958),21,5
6837,60,Courage Under Fire (1996),21,7
6855,60,Dave (1993),21,5
6891,60,Dumbo (1941),21,5
6942,60,Fly Away Home (1996),21,6
6993,60,"Good, The Bad and The Ugly, The (1966)",21,5
7127,60,"Man Who Would Be King, The (1975)",21,5
7137,60,Mary Poppins (1964),21,5
7170,60,Mother (1996),21,7
7297,60,Rebel Without a Cause (1955),21,5
7509,60,"Wings of the Dove, The (1997)",21,6
6759,60,Boogie Nights (1997),20,7
6805,60,Chasing Amy (1997),20,7
6866,60,"Deer Hunter, The (1978)",20,6
6884,60,Donnie Brasco (1997),20,5
6965,60,Funny Face (1957),20,5
6976,60,Get Shorty (1995),20,5
6991,60,Gone with the Wind (1939),20,5
7097,60,Like Water For Chocolate (Como agua para chocolate) (1992),20,5
7154,60,Midnight in the Garden of Good and Evil (1997),20,5
7167,60,Monty Python and the Holy Grail (1974),20,5
7190,60,My Fair Lady (1964),20,5
7268,60,Pretty Woman (1990),20,5
7408,60,Strictly Ballroom (1992),20,5
7466,60,"Unbearable Lightness of Being, The (1988)",20,5
7518,60,Young Frankenstein (1974),20,5
6678,60,Aliens (1986),19,5
6817,60,Clear and Present Danger (1994),19,5
6823,60,Cold Comfort Farm (1995),19,6
6834,60,Cop Land (1997),19,5
6881,60,Diva (1981),19,5
6894,60,Eat Drink Man Woman (1994),19,5
6973,60,George of the Jungle (1997),19,6
7074,60,Jurassic Park (1993),19,5
7092,60,Laura (1944),19,4
7103,60,Little Women (1994),19,5
7257,60,Picnic (1955),19,5
7279,60,Psycho (1960),19,5
7309,60,"Return of the Pink Panther, The (1974)",19,5
6694,60,Annie Hall (1977),18,5
6707,60,Arsenic and Old Lace (1944),18,5
6735,60,Being There (1979),18,4
6743,60,Big Night (1996),18,5
6893,60,East of Eden (1955),18,5
6966,60,G.I. Jane (1997),18,5
7139,60,"Mask, The (1994)",18,5
7178,60,Mrs. Doubtfire (1993),18,6
7265,60,"Postman, The (1997)",18,4
7301,60,"Remains of the Day, The (1993)",18,5
7381,60,Sophie's Choice (1982),18,5
7411,60,Sunset Blvd. (1950),18,4
7422,60,"Terminator, The (1984)",18,5
7451,60,Top Hat (1935),18,4
6684,60,"American in Paris, An (1951)",17,5
6691,60,Angels and Insects (1995),17,4
6716,60,Bananas (1971),17,4
6736,60,Belle de jour (1967),17,4
6840,60,Crimson Tide (1995),17,5
6854,60,Dante's Peak (1997),17,6
6877,60,Die Hard 2 (1990),17,5
6898,60,"Empire Strikes Back, The (1980)",17,4
6920,60,Fantasia (1940),17,4
6982,60,Giant (1956),17,5
7066,60,Jean de Florette (1986),17,4
7115,60,M (1931),17,4
7126,60,"Maltese Falcon, The (1941)",17,4
7131,60,Manhattan (1979),17,5
7296,60,Rebecca (1940),17,4
7324,60,Rosencrantz and Guildenstern Are Dead (1990),17,4
7365,60,"Silence of the Lambs, The (1991)",17,4
7368,60,Sleeper (1973),17,4
7420,60,Taxi Driver (1976),17,4
7434,60,Three Colors: Red (1994),17,4
7438,60,Tin Cup (1996),17,5
7440,60,Tin Men (1987),17,5
7453,60,Toy Story (1995),17,5
6656,60,"20,000 Leagues Under the Sea (1954)",16,4
6693,60,Anna Karenina (1997),16,4
6701,60,"Apostle, The (1997)",16,4
6753,60,"Blues Brothers, The (1980)",16,5
6915,60,Face/Off (1997),16,4
7019,60,Henry V (1989),16,4
7082,60,Kiss the Girls (1997),16,4
7105,60,Lone Star (1996),16,4
7121,60,"Madness of King George, The (1994)",16,4
7133,60,Manon of the Spring (Manon des sources) (1986),16,4
7188,60,My Best Friend's Wedding (1997),16,4
7209,60,Nikita (La Femme Nikita) (1990),16,4
7211,60,Ninotchka (1939),16,4
7244,60,Paths of Glory (1957),16,4
7286,60,Raging Bull (1980),16,4
7341,60,"Secret of Roan Inish, The (1994)",16,4
7349,60,"Sex, Lies, and Videotape (1989)",16,4
7359,60,She's the One (1996),16,4
7362,60,"Shining, The (1980)",16,4
7479,60,Victor/Victoria (1982),16,4
7504,60,"Wild Bunch, The (1969)",16,4
6700,60,Apollo 13 (1995),15,4
6750,60,"Blue Angel, The (Blaue Engel, Der) (1930)",15,4
6819,60,"Client, The (1994)",15,4
6962,60,Full Metal Jacket (1987),15,4
6996,60,Grease (1978),15,4
7015,60,Heat (1995),15,5
7058,60,It's a Wonderful Life (1946),15,4
7085,60,Kundun (1997),15,4
7104,60,Local Hero (1983),15,4
7168,60,Monty Python's Life of Brian (1979),15,4
7174,60,Mr. Smith Goes to Washington (1939),15,4
7235,60,Othello (1995),15,4
7246,60,"Peacemaker, The (1997)",15,4
7332,60,"Saint, The (1997)",15,4
7361,60,Shine (1996),15,4
7375,60,Sneakers (1992),15,4
7449,60,Tomorrow Never Dies (1997),15,5
7494,60,What's Eating Gilbert Grape (1993),15,4
7498,60,While You Were Sleeping (1995),15,4
6664,60,"Adventures of Robin Hood, The (1938)",14,4
6679,60,All About Eve (1950),14,3
6769,60,Brazil (1985),14,4
6857,60,"Day the Earth Stood Still, The (1951)",14,4
6878,60,Die Hard: With a Vengeance (1995),14,4
7023,60,His Girl Friday (1940),14,3
7036,60,"Hunt for Red October, The (1990)",14,4
7046,60,In the Line of Fire (1993),14,4
7056,60,It Happened One Night (1934),14,3
7091,60,"Last of the Mohicans, The (1992)",14,4
7159,60,Miracle on 34th Street (1994),14,4
7243,60,Pather Panchali (1955),14,3
7255,60,"Philadelphia Story, The (1940)",14,4
7398,60,Star Trek: The Wrath of Khan (1982),14,4
7421,60,Terminator 2: Judgment Day (1991),14,4
7431,60,This Is Spinal Tap (1984),14,4
7469,60,Unforgiven (1992),14,3
6742,60,"Big Lebowski, The (1998)",13,3
6818,60,Clerks (1994),13,3
6828,60,Conspiracy Theory (1997),13,5
6937,60,"Firm, The (1993)",13,4
6970,60,Gaslight (1944),13,3
7006,60,Grumpier Old Men (1995),13,6
7011,60,Harold and Maude (1971),13,3
7027,60,Hoop Dreams (1994),13,4
7059,60,"Jackal, The (1997)",13,3
7064,60,Jaws (1975),13,4
7107,60,Looking for Richard (1996),13,3
7193,60,My Favorite Year (1982),13,3
7196,60,My Life as a Dog (Mitt liv som hund) (1985),13,3
7253,60,Phenomenon (1996),13,4
7298,60,Red Corner (1997),13,3
7305,60,Reservoir Dogs (1992),13,4
7369,60,Sleepers (1996),13,4
7394,60,Star Trek III: The Search for Spock (1984),13,4
7427,60,"Thin Man, The (1934)",13,4
7462,60,Twister (1996),13,4
6665,60,"Affair to Remember, An (1957)",12,3
6778,60,Broken Arrow (1996),12,5
6781,60,Bullets Over Broadway (1994),12,4
6787,60,Cape Fear (1962),12,3
6788,60,Cape Fear (1991),12,3
6791,60,Carrie (1976),12,3
6804,60,Charade (1963),12,3
6822,60,Clueless (1995),12,3
6847,60,"Crying Game, The (1992)",12,3
6853,60,Dangerous Beauty (1998),12,3
6870,60,Desperate Measures (1998),12,4
6875,60,Dial M for Murder (1954),12,3
6909,60,Everyone Says I Love You (1996),12,4
6927,60,Father of the Bride (1950),12,3
6948,60,Forbidden Planet (1956),12,3
6971,60,Gattaca (1997),12,3
7004,60,Grosse Pointe Blank (1997),12,3
7152,60,Michael Collins (1996),12,4
7153,60,Microcosmos: Le peuple de l'herbe (1996),12,3
7180,60,Much Ado About Nothing (1993),12,3
7197,60,My Man Godfrey (1936),12,3
7215,60,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",12,3
7216,60,Notorious (1946),12,3
7220,60,"Old Man and the Sea, The (1958)",12,3
7320,60,Roman Holiday (1953),12,3
7330,60,Sabrina (1954),12,3
7331,60,Sabrina (1995),12,4
7348,60,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",12,3
7376,60,Snow White and the Seven Dwarfs (1937),12,3
7414,60,"Sweet Hereafter, The (1997)",12,4
7430,60,Thirty-Two Short Films About Glenn Gould (1993),12,3
7465,60,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",12,3
7506,60,Willy Wonka and the Chocolate Factory (1971),12,4
6659,60,8 1/2 (1963),11,3
6724,60,Batman (1989),11,4
6746,60,"Birds, The (1963)",11,4
6758,60,Bonnie and Clyde (1967),11,3
6839,60,Crash (1996),11,5
6890,60,Duck Soup (1933),11,3
6961,60,"Fugitive, The (1993)",11,3
6980,60,"Ghost and the Darkness, The (1996)",11,4
7024,60,Home Alone (1990),11,3
7098,60,"Lion King, The (1994)",11,3
7217,60,"Nutty Professor, The (1996)",11,3
7270,60,Primal Fear (1996),11,3
7291,60,Ran (1985),11,3
7338,60,Searching for Bobby Fischer (1993),11,3
7346,60,Seven (Se7en) (1995),11,3
7367,60,Six Degrees of Separation (1993),11,3
7392,60,Stand by Me (1986),11,3
7395,60,Star Trek IV: The Voyage Home (1986),11,3
7397,60,Star Trek: The Motion Picture (1979),11,3
7433,60,Three Colors: Blue (1993),11,3
7454,60,Trainspotting (1996),11,3
7502,60,Widows' Peak (1994),11,3
6683,60,"American Werewolf in London, An (1981)",10,3
6697,60,Aparajito (1956),10,2
6765,60,"Boys, Les (1997)",10,3
6774,60,Bride of Frankenstein (1935),10,3
6899,60,Enchanted April (1991),10,2
6913,60,Executive Decision (1996),10,3
6979,60,"Ghost and Mrs. Muir, The (1947)",10,3
7016,60,Heathers (1989),10,3
7118,60,Ma vie en rose (My Life in Pink) (1997),10,3
7161,60,Mission: Impossible (1996),10,3
7212,60,Nixon (1995),10,3
7261,60,Pinocchio (1940),10,3
7271,60,"Princess Bride, The (1987)",10,3
7388,60,Speed (1994),10,2
7495,60,What's Love Got to Do with It (1993),10,3
6660,60,Absolute Power (1997),9,3
6663,60,"Adventures of Priscilla, Queen of the Desert, The (1994)",9,2
6696,60,Antonia's Line (1995),9,3
6734,60,Before the Rain (Pred dozhdot) (1994),9,2
6744,60,"Big Sleep, The (1946)",9,2
6763,60,Bound (1996),9,2
6777,60,Bringing Up Baby (1938),9,2
6780,60,"Brothers McMullen, The (1995)",9,2
6867,60,Delicatessen (1991),9,3
6907,60,Eve's Bayou (1997),9,3
6957,60,Fresh (1994),9,2
6978,60,Ghost (1990),9,2
6985,60,Glengarry Glen Ross (1992),9,3
6986,60,Glory (1989),9,2
6998,60,"Great Dictator, The (1940)",9,3
7001,60,"Great Race, The (1965)",9,3
7061,60,Jackie Chan's First Strike (1996),9,3
7081,60,"Kiss Me, Guido (1997)",9,3
7142,60,Maverick (1994),9,3
7166,60,"Month by the Lake, A (1995)",9,2
7207,60,"Nightmare Before Christmas, The (1993)",9,2
7223,60,"Omen, The (1976)",9,3
7241,60,"Paris, Texas (1984)",9,2
7263,60,Pollyanna (1960),9,3
7299,60,Red Rock West (1992),9,2
7300,60,"Ref, The (1994)",9,3
7351,60,Shadow Conspiracy (1997),9,3
7439,60,"Tin Drum, The (Blechtrommel, Die) (1979)",9,2
7442,60,To Be or Not to Be (1942),9,3
7475,60,Vanya on 42nd Street (1994),9,2
7486,60,Washington Square (1997),9,2
7500,60,White Squall (1996),9,3
7508,60,Wings of Desire (1987),9,2
6658,60,"39 Steps, The (1935)",8,2
6667,60,Afterglow (1997),8,2
6674,60,Alice in Wonderland (1951),8,2
6676,60,Alien 3 (1992),8,2
6718,60,Barbarella (1968),8,2
6727,60,Beat the Devil (1954),8,2
6731,60,Beauty and the Beast (1991),8,2
6754,60,Bob Roberts (1992),8,2
6771,60,Breakdown (1997),8,2
6793,60,Casino (1995),8,3
6813,60,City Hall (1996),8,3
6845,60,Crumb (1994),8,2
6846,60,"Cry, the Beloved Country (1995)",8,2
6871,60,Devil in a Blue Dress (1995),8,2
6887,60,Down by Law (1986),8,2
6889,60,Dragonheart (1996),8,3
6895,60,Ed Wood (1994),8,3
6919,60,"Family Thing, A (1996)",8,2
6921,60,Farewell My Concubine (1993),8,2
6960,60,From Dusk Till Dawn (1996),8,2
7003,60,"Grifters, The (1990)",8,2
7008,60,Hamlet (1996),8,2
7017,60,Heavenly Creatures (1994),8,2
7034,60,"Hudsucker Proxy, The (1994)",8,2
7040,60,"Ice Storm, The (1997)",8,3
7062,60,James and the Giant Peach (1996),8,2
7113,60,Love in the Afternoon (1957),8,2
7132,60,Manhattan Murder Mystery (1993),8,2
7147,60,Meet John Doe (1941),8,2
7155,60,Mighty Aphrodite (1995),8,2
7163,60,Moll Flanders (1996),8,2
7226,60,Once Upon a Time in the West (1969),8,2
7254,60,Philadelphia (1993),8,2
7281,60,Purple Noon (1960),8,2
7282,60,"Queen Margot (Reine Margot, La) (1994)",8,2
7307,60,"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",8,2
7329,60,Rumble in the Bronx (1995),8,2
7374,60,Smoke (1995),8,2
7378,60,Some Folks Call It a Sling Blade (1993),8,2
7380,60,Somewhere in Time (1980),8,2
7385,60,Spawn (1997),8,3
7391,60,"Spitfire Grill, The (1996)",8,3
7437,60,"Time to Kill, A (1996)",8,2
7452,60,Touch of Evil (1958),8,2
7467,60,Under Siege (1992),8,3
6661,60,"Abyss, The (1989)",7,2
6672,60,Aladdin (1992),7,2
6833,60,Cool Runnings (1993),7,2
6835,60,Copycat (1995),7,2
6848,60,Cyrano de Bergerac (1990),7,2
6850,60,D3: The Mighty Ducks (1996),7,2
6882,60,Dolores Claiborne (1994),7,2
6883,60,Don Juan DeMarco (1995),7,2
6885,60,"Doors, The (1991)",7,2
6896,60,"Edge, The (1997)",7,2
6903,60,Eraser (1996),7,2
6935,60,Fire Down Below (1997),7,3
6936,60,Firestorm (1998),7,2
6938,60,"First Wives Club, The (1996)",7,2
6977,60,Get on the Bus (1996),7,2
7014,60,Hear My Song (1991),7,2
7026,60,Hoodlum (1997),7,2
7035,60,"Hunchback of Notre Dame, The (1996)",7,3
7053,60,"Inspector General, The (1949)",7,2
7060,60,Jackie Brown (1997),7,2
7071,60,Jumanji (1995),7,2
7079,60,Kim (1950),7,2
7084,60,Koyaanisqatsi (1983),7,2
7136,60,Marvin's Room (1996),7,2
7146,60,Mediterraneo (1991),7,2
7160,60,"Mirror Has Two Faces, The (1996)",7,2
7177,60,Mrs. Dalloway (1997),7,2
7181,60,Mulholland Falls (1996),7,2
7186,60,"Murder, My Sweet (1944)",7,2
7200,60,Naked Gun 33 1/3: The Final Insult (1994),7,2
7225,60,Once Upon a Time in America (1984),7,2
7242,60,Passion Fish (1992),7,2
7250,60,"Perfect World, A (1993)",7,2
7274,60,Private Benjamin (1980),7,2
7276,60,"Professional, The (1994)",7,2
7285,60,Quiz Show (1994),7,2
7319,60,Rocket Man (1997),7,2
7339,60,"Secret Agent, The (1996)",7,3
7352,60,Shadowlands (1993),7,2
7390,60,Sphere (1998),7,3
7393,60,Star Maps (1997),7,2
7435,60,Three Colors: White (1994),7,2
7472,60,Up Close and Personal (1996),7,3
7484,60,Walkabout (1971),7,2
7497,60,When a Man Loves a Woman (1994),7,2
6655,60,2 Days in the Valley (1996),6,2
6687,60,An Unforgettable Summer (1994),6,2
6723,60,Batman & Robin (1997),6,2
6733,60,Bedknobs and Broomsticks (1971),6,2
6738,60,Benny & Joon (1993),6,2
6747,60,Black Beauty (1994),6,2
6773,60,Breaking the Waves (1996),6,2
6776,60,"Bridges of Madison County, The (1995)",6,2
6786,60,"Candidate, The (1972)",6,2
6797,60,Cats Don't Dance (1997),6,2
6831,60,"Cook the Thief His Wife & Her Lover, The (1989)",6,2
6838,60,"Craft, The (1996)",6,2
6886,60,"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",6,2
